"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__CostEditable__c","SBQQ__DefaultQuantity__c","SBQQ__DiscountSchedule__c","SBQQ__NonDiscountable__c","SBQQ__NonPartnerDiscountable__c","SBQQ__PriceBook__c","SBQQ__PriceEditable__c","SBQQ__Product__c","SBQQ__QuantityEditable__c","SBQQ__QuantityScale__c","SBQQ__Taxable__c","SBQQ__TermDiscountSchedule__c","SBQQ__Type__c","SBQQ__UnitPrice__c"
"a0A1N00001JMRmaUAH","false","Yearly Price Dimensions","GBP","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLmQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmbUAH","false","Yearly Price Dimension","AUD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLoQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmcUAH","false","Yearly Price Dimension","CAD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLoQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmdUAH","false","Yearly Price Dimension","GBP","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLoQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmeUAH","false","Yearly PD","USD","Inherit",,,"Inherit","Inherit",,"Inherit",,"Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmEUAX","false","Yearly Price Dimension","USD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLsQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmFUAX","false","Yearly Price Dimensions","USD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLmQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmGUAX","false","Yearly Price Dimension","USD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURMIQA5","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmHUAX","false","Yearly Price Dimension","USD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURMdQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmIUAX","false","Yearly Price Dimension","USD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURMeQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmJUAX","false","Monthly Price Dimension","USD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURMGQA5","Inherit",,"Inherit",,"Month",
"a0A1N00001JMRmKUAX","false","Yearly Price Dimension","USD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLoQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmLUAX","false","Monthly Price Dimension","USD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURMHQA5","Inherit",,"Inherit",,"Month",
"a0A1N00001JMRmMUAX","false","Segment","USD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLtQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmNUAX","false","Yearly Price Dimensions","EUR","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLmQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmOUAX","false","Yearly Price Dimension","EUR","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLsQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmPUAX","false","Yearly Price Dimension","EUR","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLoQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmQUAX","false","Custom Price Dimensions","USD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLjQAP","Inherit",,"Inherit",,"Custom",
"a0A1N00001JMRmRUAX","false","Custom Price Dimensions","EUR","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLjQAP","Inherit",,"Inherit",,"Custom",
"a0A1N00001JMRmSUAX","false","Yearly Price Dimension","AUD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLsQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmTUAX","false","Custom Price Dimensions","AUD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLjQAP","Inherit",,"Inherit",,"Custom",
"a0A1N00001JMRmUUAX","false","Yearly Price Dimensions","AUD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLmQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmVUAX","false","Yearly Price Dimension","CAD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLsQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmWUAX","false","Yearly Price Dimension","GBP","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLsQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmXUAX","false","Custom Price Dimensions","CAD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLjQAP","Inherit",,"Inherit",,"Custom",
"a0A1N00001JMRmYUAX","false","Custom Price Dimensions","GBP","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLjQAP","Inherit",,"Inherit",,"Custom",
"a0A1N00001JMRmZUAX","false","Yearly Price Dimensions","CAD","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLmQAP","Inherit",,"Inherit",,"Year",
